열1,열12
그만두다,그만
금하다,그만
말다,그만
하지 마,그만
그만,그만
끝,그만
까지,그만
종결,그만
종료,그만
끝나다,그만
마치다,그만
그만하다,그만하다
고만하다,그만하다
이만하다,그만하다
저만하다,그만하다
그만하다,그만하다
일관,그만하다
여전하다,그만하다
한결같다,그만하다
그저,그만하다
일관성이 있다,그만하다
전과 똑같다,그만하다
그저께,그저께
그제,그저께
극복,극복
극복,극복
이겨냄,극복
극장,극장
근로,근로
근무,근로
노동,근로
일,근로
작업,근로
근로자,근로자
고용인,근로자
노동자,근로자
노무자,근로자
사원,근로자
일꾼,근로자
종업원,근로자
직원,근로자
근면,근면
열성,근면
열심,근면
꾸준하다,근면
부지런하다,근면
근방,근방
가까이,근방
근처,근방
부근,근방
인근,근방
근본,근본
기반,근본
기본,근본
기초,근본
바탕,근본
뿌리,근본
근사하다,근사하다
근육,근육
글,글
글자,글
자,글
글월,글월
문,글월
문구,글월
문장,글월
글피,글피
긁어먹다,긁어먹다
등치다,긁어먹다
긁어모으다,긁어모으다
금가락지,금가락지
금반지,금가락지
금강산,금강산
금고,금고
금리,금리
금메달,금메달
금색,금색
황금색,금색
골드색,금색
금세,금세
금식,금식
금연,금연
금요일,금요일
금융,금융
은행,금융
금주,금주
술을 끊다,금주
금주,금주
이번 주,금주
금주일,금주
급행,급행
고속,급행
긍정,긍정
긍휼,긍휼
기,기
깃발,기
기간,기간
기겁,기겁
기계,기계
장치,기계
기관지,기관지
기구,기구
조직,기구
짜임,기구
천,기구
헝겊,기구
짜다,기구
기금,기금
기본금,기금
기념,기념
기념식,기념식
기념일,기념일
기다랗다,기다랗다
기다리다,기다리다
대기,기다리다
이따가,기다리다
기도,기도
기독교,기독교
예수교,기독교
기록,기록
기술,기록
기름,기름
숙달,기름
원활,기름
능숙하다,기름
매끄럽다,기름
미끄럽다,기름
순조롭다,기름
자주,기름
빈번히,기름
낯익다,기름
기린,기린
기말시험,기말시험
기말고사,기말시험
기발하다,기발하다
기쁨,기쁨
기쁘다,기쁨
기사,기사
기술사,기사
기술자,기사
기상,기상
일어나다,기상
일어서다,기상
서다,기상
독립,기상
기생,기생
더부살이,기생
기술,기술
재능,기술
재주,기술
기억,기억
암기,기억
외다,기억
외우다,기억
기업,기업
회사,기업
사,기업
기와,기와
기운,기운
힘,기운
기원,기원
빌다,기원
기입,기입
기자,기자
기저귀,기저귀
기적,기적
기차,기차
기관차,기차
열차,기차
기차역,기차역
역,기차역
기차표,기차표
열차표,기차표
기체,기체
가스체,기체
기초 생활 보호 대상자,기초 생활 보호 대상자
기침,기침
감기,기침
해수,기침
기타,기타
기피,기피
대피,기피
피신,기피
회피,기피
피하다,기피
기회,기회
찬스,기회
길,길
도로,길
길다,길다
오래다,길다
오래,길다
길이,길이
장단,길이
단장,길이
김,김
김씨,김씨
김치,김치
깊다,깊다
깊숙하다,깊다
깊숙이,깊숙이
ㄲ,ㄲ
까다,까다
벗기다,까다
까닭,까닭
뜻,까닭
명목,까닭
의미,까닭
이유,까닭
이치,까닭
뜻하다,까닭
까마귀,까마귀
까불다,까불다
깜깜하다,깜깜하다
소식이 없다,깜깜하다
감감하다,깜깜하다
감감무소식,깜깜하다
무소식,깜깜하다
무신,깜깜하다
깜박대다,깜박대다
깜박거리다,깜박대다
깜박깜박하다,깜박대다
깨,깨
세부,깨
정밀,깨
상세하다,깨
세밀하다,깨
자세하다,깨
찬찬하다,깨
치밀하다,깨
샅샅이,깨
꼼꼼,깨
깨다,깨다
깨다,깨다
깨뜨리다,깨다
파괴,깨다
파손,깨다
깨물다,깨물다
물다,깨물다
꺼지다,꺼지다
소등,꺼지다
껌,껌
꼬다,꼬다
꼬마,꼬마
꼬맹이,꼬마
소아,꼬마
꼬시다,꼬시다
유인,꼬시다
유도,꼬시다
꼭,꼭
약속,꼭
-야,꼭
필수,꼭
필시,꼭
꽉차다,꽉차다
꽹과리,꽹과리
꾀,꾀
계책,꾀
